Record_ID,Week_Starting,Month,Quarter,Centre_Name,Centre_Type,Country,Agent_ID,Agent_Name,Team_Leader,Shift_Pattern,Contracted_Hours_pw,Calls_Handled,Emails_Handled,Chats_Handled,Total_Interactions,AHT_Seconds,ACW_Seconds,Hold_Time_Avg_Seconds,FCR_Percent,Quality_Score_Percent,Fatal_Error_This_Week,Performance_Band,CSAT_Score_1to5,NPS_Avg_Response_0to10,NPS_Score_Calculated,NPS_Responses_Count,Schedule_Adherence_Percent,Occupancy_Percent,Shrinkage_Percent,Absence_Days_This_Week,Return_To_Work_Discussion,Late_Arrivals,Coaching_Sessions_Attended,Training_Hours_Completed,Escalations,Complaints_Raised,Complaints_Resolved_Same_Week,Transfers_Out,Bookings_Handled,Amendments_Handled,Refunds_Processed,Baggage_Claims_Handled,Special_Assistance_Requests,Executive_Club_Queries,Disruption_Cases_Handled,Upsell_Revenue_GBP,SLA_Answered_Within_20s_Percent
BA00001,08/09/2025,September 2025,Q3 2025,BA Waterside,Internal,United Kingdom,BWS001,Emma Thompson,Sarah Mitchell,Early (07:00-15:00),37.5,102,22,20,144,290,43,27,85.9,94.4,N,Exceeds,4.8,9.2,62,22,93.3,83.0,13.3,1.2,Y,1,1,0.9,1,0,0,6,32,37,9,9,6,14,10,252,95.0
BA00002,08/09/2025,September 2025,Q3 2025,BA Waterside,Internal,United Kingdom,BWS002,Oliver Harris,James Crawford,Late (13:00-21:00),37.5,93,30,12,135,292,54,27,87.5,94.3,N,Exceeds,4.6,9.3,64,26,95.2,87.7,13.2,0.9,Y,0,1,1.5,2,0,0,6,25,23,9,9,3,15,5,509,93.5
BA00003,08/09/2025,September 2025,Q3 2025,BA Waterside,Internal,United Kingdom,BWS003,Charlotte Davies,Priya Sharma,Standard (09:00-17:00),37.5,101,20,13,134,313,40,42,92.6,89.2,N,Meets,4.8,8.3,36,12,95.6,82.9,8.7,0.9,Y,1,2,0.9,1,2,2,5,17,22,16,10,8,9,13,204,84.5
BA00004,08/09/2025,September 2025,Q3 2025,BA Waterside,Internal,United Kingdom,BWS004,George Wilson,Sarah Mitchell,Early (07:00-15:00),25.0,115,20,18,153,309,41,47,86.8,94.0,N,Exceeds,4.8,8.9,53,23,94.6,83.2,8.7,1.4,Y,0,1,1.0,1,0,0,5,22,20,6,3,3,9,5,309,83.9
BA00005,08/09/2025,September 2025,Q3 2025,BA Waterside,Internal,United Kingdom,BWS005,Amelia Brown,James Crawford,Early (07:00-15:00),30.0,100,23,25,148,291,41,28,84.9,94.3,N,Exceeds,4.5,8.0,28,25,94.5,86.6,8.3,0.7,Y,0,1,1.1,2,2,2,1,22,26,8,10,3,14,7,282,88.6
BA00006,08/09/2025,September 2025,Q3 2025,BA Waterside,Internal,United Kingdom,BWS006,Harry Taylor,Priya Sharma,Split (08:00-16:00),37.5,89,29,13,131,280,40,38,88.4,95.4,N,Exceeds,4.3,9.6,73,24,97.4,79.6,8.0,1.5,Y,1,2,1.9,3,0,0,3,28,42,16,10,3,11,9,251,94.6
BA00007,08/09/2025,September 2025,Q3 2025,BA Waterside,Internal,United Kingdom,BWS007,Sophie Johnson,Sarah Mitchell,Early (07:00-15:00),37.5,119,16,20,155,270,40,27,89.4,95.7,N,Exceeds,4.6,8.9,53,19,94.4,87.4,11.4,0.2,Y,0,1,1.1,2,2,2,3,21,41,16,8,3,12,11,207,91.1
BA00008,08/09/2025,September 2025,Q3 2025,BA Waterside,Internal,United Kingdom,BWS008,Jack Roberts,James Crawford,Standard (09:00-17:00),37.5,104,29,20,153,271,37,42,85.9,96.0,N,Exceeds,4.4,9.5,70,23,97.3,86.8,10.2,0.7,Y,0,2,1.8,2,0,0,5,35,36,5,7,7,9,7,275,84.4
BA00009,08/09/2025,September 2025,Q3 2025,BA Waterside,Internal,United Kingdom,BWS009,Isabella Martin,Priya Sharma,Early (07:00-15:00),30.0,91,19,18,128,297,50,33,92.1,94.8,N,Exceeds,4.7,8.2,34,14,95.8,86.3,8.3,1.0,Y,1,1,1.5,2,1,0,2,29,37,16,9,6,8,6,178,94.3
BA00010,08/09/2025,September 2025,Q3 2025,BA Waterside,Internal,United Kingdom,BWS010,William Jackson,Sarah Mitchell,Standard (09:00-17:00),25.0,94,16,21,131,315,36,53,87.2,90.9,N,Exceeds,4.6,8.1,31,15,94.1,83.6,13.2,0.1,Y,0,1,1.8,1,0,0,4,15,25,16,8,8,22,11,482,93.4
BA00011,08/09/2025,September 2025,Q3 2025,BA Newcastle,Internal,United Kingdom,BNC001,Liam White,Tom Blackwood,Split (08:00-16:00),37.5,90,16,10,116,337,69,59,81.5,84.2,N,Meets,4.4,7.4,11,23,89.8,75.3,11.2,1.7,Y,1,2,1.8,2,0,0,4,28,30,14,11,3,6,5,223,78.5
BA00012,08/09/2025,September 2025,Q3 2025,BA Newcastle,Internal,United Kingdom,BNC002,Grace Hall,Claire Atkinson,Split (08:00-16:00),30.0,91,12,9,112,309,68,42,80.5,87.1,N,Meets,4.3,7.9,25,10,92.2,83.9,14.1,1.2,Y,2,1,1.0,0,2,1,7,22,37,9,4,6,20,8,349,80.3
BA00013,08/09/2025,September 2025,Q3 2025,BA Newcastle,Internal,United Kingdom,BNC003,Noah Clark,Kevin Foster,Late (13:00-21:00),37.5,101,17,14,132,332,68,41,84.2,85.8,N,Meets,4.1,8.3,36,18,94.7,78.3,11.3,1.3,Y,2,2,1.2,3,1,1,7,18,34,11,5,6,7,8,353,85.3
BA00014,08/09/2025,September 2025,Q3 2025,BA Newcastle,Internal,United Kingdom,BNC004,Emily Lewis,Tom Blackwood,Standard (09:00-17:00),25.0,96,13,20,129,315,59,34,82.6,84.4,N,Meets,4.4,7.8,22,19,89.6,82.7,13.0,0.0,N,0,1,1.5,0,1,0,8,15,31,7,5,7,17,12,327,76.7
BA00015,08/09/2025,September 2025,Q3 2025,BA Newcastle,Internal,United Kingdom,BNC005,Ethan Lee,Claire Atkinson,Split (08:00-16:00),37.5,90,25,9,124,317,53,65,82.5,89.2,N,Meets,4.0,8.7,48,23,91.8,77.9,11.5,1.2,Y,2,2,1.6,4,2,1,5,19,26,11,4,6,10,7,229,80.7
BA00016,08/09/2025,September 2025,Q3 2025,BA Newcastle,Internal,United Kingdom,BNC006,Mia Walker,Kevin Foster,Late (13:00-21:00),37.5,109,13,10,132,319,54,56,78.6,86.1,N,Meets,4.4,7.9,25,16,95.2,81.4,14.2,0.1,Y,2,2,1.2,2,1,0,4,24,31,12,11,7,15,7,339,79.1
BA00017,08/09/2025,September 2025,Q3 2025,BA Newcastle,Internal,United Kingdom,BNC007,Lucas Allen,Tom Blackwood,Standard (09:00-17:00),37.5,102,19,8,129,324,57,31,87.1,91.2,N,Exceeds,4.3,8.5,42,20,88.2,82.1,10.8,1.7,Y,1,1,0.6,3,3,1,4,18,32,9,8,7,20,10,232,86.5
BA00018,08/09/2025,September 2025,Q3 2025,BA Newcastle,Internal,United Kingdom,BNC008,Ava Scott,Claire Atkinson,Early (07:00-15:00),37.5,101,16,9,126,326,42,32,85.5,85.5,N,Meets,4.5,8.6,45,13,94.7,81.8,11.4,2.0,Y,1,1,1.3,1,0,0,5,20,29,6,4,7,19,6,249,77.5
BA00019,08/09/2025,September 2025,Q3 2025,BA Newcastle,Internal,United Kingdom,BNC009,Mason Young,Kevin Foster,Split (08:00-16:00),37.5,76,16,17,109,325,47,36,85.0,88.9,N,Meets,4.1,9.0,56,20,92.8,76.3,15.9,0.2,Y,0,2,1.3,2,3,1,2,28,38,9,3,7,12,11,144,82.1
BA00020,08/09/2025,September 2025,Q3 2025,BA Newcastle,Internal,United Kingdom,BNC010,Isla King,Tom Blackwood,Late (13:00-21:00),37.5,98,22,15,135,315,54,57,86.3,87.4,N,Meets,4.3,8.0,28,15,94.8,84.1,10.5,1.6,Y,1,1,1.6,4,2,2,6,24,28,4,10,7,11,6,339,79.0
BA00021,08/09/2025,September 2025,Q3 2025,Allorica Manila,Allorica,Philippines,AMN001,Jayson Dela Cruz,Gemma Ocampo,Late (13:00-21:00),37.5,96,15,20,131,305,52,61,77.9,89.5,N,Meets,4.2,8.2,34,21,90.3,83.8,14.7,0.0,N,0,1,1.6,4,2,2,5,19,37,12,7,4,13,11,148,78.4
BA00022,08/09/2025,September 2025,Q3 2025,Allorica Manila,Allorica,Philippines,AMN002,Rosalie Mendoza,Ronald Sy,Split (08:00-16:00),30.0,115,15,23,153,310,68,69,83.4,81.9,N,Meets,4.2,7.2,6,13,87.9,81.3,16.3,0.3,Y,2,3,1.6,1,2,0,5,19,23,8,4,3,5,11,92,76.1
BA00023,08/09/2025,September 2025,Q3 2025,Allorica Manila,Allorica,Philippines,AMN003,Brian Santos,Aileen Tan,Early (07:00-15:00),37.5,83,18,21,122,355,60,63,76.1,85.7,N,Meets,4.4,6.9,-3,14,94.5,81.3,16.9,2.2,Y,1,2,1.1,1,3,0,4,14,34,7,3,2,6,11,255,78.2
